codine|provincia|municipio|pobmun02|pobmun04|pobmun06|pobmun08|pobmun10|pobmun12|pobmun14
15001|A Coruña|Abegondo|5772|5732|5773|5822|5765|5709|5585
15002|A Coruña|Ames|18788|20840|23219|25818|27900|29331|29975
15003|A Coruña|Aranga|2379|2274|2230|2181|2126|2072|2033
15004|A Coruña|Ares|4976|5265|5405|5682|5705|5839|5741
15005|A Coruña|Arteixo|23560|25295|26739|28961|30255|30725|30857
15006|A Coruña|Arzúa|6776|6632|6532|6484|6409|6315|6261
15007|A Coruña|Baña (A)|5141|4888|4652|4528|4320|3967|3754
15008|A Coruña|Bergondo|6264|6413|6539|6683|6758|6712|6702
15009|A Coruña|Betanzos|12575|12990|13165|13522|13673|13565|13352
15010|A Coruña|Boimorto|2551|2486|2410|2348|2271|2200|2115
15011|A Coruña|Boiro|18064|18302|18554|18730|19076|19165|19060
15012|A Coruña|Boqueixón|4261|4337|4406|4445|4444|4417|4342
15013|A Coruña|Brión|6437|6684|6972|7104|7347|7369|7519
15014|A Coruña|Cabana de Bergantiños|5592|5354|5199|5045|4909|4759|4623
15015|A Coruña|Cabanas|3334|3368|3343|3287|3375|3299|3294
15016|A Coruña|Camariñas|6620|6502|6323|6207|6226|6082|5774
15017|A Coruña|Cambre|19504|20919|22092|22900|23621|23879|24029
15018|A Coruña|Capela (A)|1534|1526|1487|1439|1399|1376|1356
15019|A Coruña|Carballo|28527|29521|29985|30653|31149|31358|31288
15020|A Coruña|Carnota|5510|5285|5112|4958|4904|4605|4376
15021|A Coruña|Carral|5290|5453|5579|5672|5945|6130|6118
15022|A Coruña|Cedeira|7572|7477|7443|7511|7412|7254|7147
15023|A Coruña|Cee|7239|7344|7489|7691|7818|7855|7760
15024|A Coruña|Cerceda|5492|5499|5483|5597|5486|5318|5156
15025|A Coruña|Cerdido|1619|1558|1496|1384|1361|1312|1249
15026|A Coruña|Cesuras|2555|2463|2391|2274|2209|2174|
15027|A Coruña|Coirós|1577|1650|1654|1713|1722|1765|1747
15028|A Coruña|Corcubión|2002|1964|1912|1822|1803|1731|1672
15029|A Coruña|Coristanco|8001|7765|7582|7376|7165|6974|6706
15030|A Coruña|Coruña (A)|242458|242846|243320|245164|246047|246146|244810
15031|A Coruña|Culleredo|22745|24640|26547|27670|28737|29416|29434
